Date,AAPL,MSFT,META,AMZN,TSLA,JPM,XOM,NKE,JNJ,^GSPC
2019-01-02,37.50373077392578,94.61259460449219,134.7388153076172,76.95649719238281,20.674667358398438,81.25021362304688,50.33512878417969,67.59992218017578,104.94284057617188,2510.030029296875
2019-01-03,33.76808547973633,91.13199615478516,130.82614135742188,75.01399993896484,20.02400016784668,80.0954818725586,49.562286376953125,66.4041976928711,103.27523040771484,2447.889892578125
2019-01-04,35.209617614746094,95.3704833984375,136.99307250976562,78.76950073242188,21.179332733154297,83.04825592041016,51.389644622802734,68.13844299316406,105.00855255126953,2531.93994140625
2019-01-07,35.13124465942383,95.49211883544922,137.09234619140625,81.47550201416016,22.33066749572754,83.10600280761719,51.65687942504883,69.1151351928711,104.33496856689453,2549.68994140625
2019-01-08,35.80095672607422,96.18449401855469,141.54129028320312,82.8290023803711,22.356666564941406,82.94928741455078,52.03245544433594,70.03702545166016,106.75831604003906,2574.409912109375
2019-01-09,36.408912658691406,97.55990600585938,143.2294921875,82.97100067138672,22.568666458129883,82.8090591430664,52.306915283203125,69.90922546386719,105.91216278076172,2584.9599609375
2019-01-10,36.52527618408203,96.93299865722656,143.19969177246094,82.81099700927734,22.99799919128418,82.8008041381836,52.039676666259766,69.7540512084961,106.55292510986328,2596.639892578125
2019-01-11,36.16667938232422,96.18449401855469,142.80247497558594,82.02799987792969,23.150667190551758,82.4049072265625,51.801334381103516,69.4072265625,106.58576965332031,2596.260009765625
2019-01-14,35.62284469604492,95.48275756835938,144.3814697265625,80.8604965209961,22.293333053588867,83.25447082519531,51.736331939697266,69.45282745361328,105.37821197509766,2582.610107421875
2019-01-15,36.35192108154297,98.25225830078125,147.916748046875,83.72799682617188,22.961999893188477,83.86479949951172,51.765220642089844,71.0866928100586,106.26538848876953,2610.300048828125
2019-01-16,36.79601287841797,98.59847259521484,146.5165557861328,84.18900299072266,23.06999969482422,84.54112243652344,51.74354553222656,70.9041519165039,105.18104553222656,2616.10009765625
2019-01-17,37.01451110839844,99.29083251953125,147.27127075195312,84.66100311279297,23.15399932861328,84.88751983642578,52.09747314453125,72.2276611328125,106.04360961914062,2635.9599609375
2019-01-18,37.242488861083984,100.77851104736328,148.99917602539062,84.80999755859375,20.150667190551758,86.26495361328125,52.71861267089844,73.43254089355469,107.35796356201172,2670.7099609375
2019-01-22,36.40654754638672,98.87915802001953,146.5463409423828,81.6084976196289,19.92799949645996,84.90402221679688,51.92411422729492,73.70637512207031,105.80538940429688,2632.89990234375
2019-01-23,36.55378723144531,99.84288024902344,143.29901123046875,82.0009994506836,19.172666549682617,84.6895980834961,51.49799346923828,73.4781723022461,105.80538940429688,2638.699951171875
2019-01-24,36.264041900634766,99.36569213867188,144.81838989257812,82.74649810791016,19.43400001525879,84.73905944824219,51.570194244384766,73.42340850830078,104.35135650634766,2642.330078125
2019-01-25,37.465728759765625,100.27326202392578,147.976318359375,83.52850341796875,19.80266761779785,85.27520751953125,51.801334381103516,73.57858276367188,105.33712005615234,2664.760009765625
2019-01-28,37.11900329589844,98.3177719116211,146.44700622558594,81.89450073242188,19.7586669921875,85.67935180664062,51.454647064208984,73.31387329101562,105.9614486694336,2643.85009765625
2019-01-29,36.734275817871094,96.31548309326172,143.18978881835938,79.69400024414062,19.83066749572754,85.91853332519531,51.649654388427734,73.22260284423828,107.0622329711914,2640.0
2019-01-30,39.2445068359375,99.53411102294922,149.37655639648438,83.52149963378906,20.584667205810547,86.11647033691406,52.213035583496094,74.19012451171875,108.13833618164062,2681.050048828125
2019-01-31,39.5271110534668,97.70960235595703,165.53369140625,85.9365005493164,20.468000411987305,85.36591339111328,52.92808532714844,74.73780059814453,109.32128143310547,2704.10009765625
2019-02-01,39.54610824584961,96.16577911376953,164.5605010986328,81.3115005493164,20.81399917602539,85.67935180664062,54.834861755371094,74.40007781982422,110.24134063720703,2706.530029296875
2019-02-04,40.66941833496094,98.93528747558594,168.07591247558594,81.66549682617188,20.859333038330078,85.9845199584961,54.04037857055664,74.83821105957031,109.15696716308594,2724.8701171875
2019-02-05,41.365234375,100.320068359375,169.97268676757812,82.94049835205078,21.42333221435547,85.6051025390625,54.596519470214844,75.63230895996094,109.15696716308594,2737.699951171875
2019-02-06,41.379486083984375,99.2066421508789,169.30734252929688,82.01300048828125,21.148000717163086,85.56385040283203,54.358184814453125,75.49540710449219,109.25554656982422,2731.610107421875
2019-02-07,40.59579086303711,98.49552917480469,165.22584533691406,80.71849822998047,20.500667572021484,84.442138671875,53.93925094604492,75.20329284667969,108.47517395019531,2706.050048828125
2019-02-08,40.643497467041016,98.86979675292969,166.16925048828125,79.41100311279297,20.386667251586914,83.60089111328125,54.02689743041992,75.1759262084961,108.76264190673828,2707.8798828125
2019-02-11,40.409751892089844,98.47682189941406,164.6399383544922,79.55000305175781,20.856000900268555,83.2049789428711,54.114532470703125,76.38079833984375,108.43407440185547,2709.800048828125
2019-02-12,40.757957458496094,100.01127624511719,163.89512634277344,81.90049743652344,20.78733253479004,84.62362670898438,55.063899993896484,77.32095336914062,110.20845031738281,2744.72998046875
2019-02-13,40.58864212036133,99.93643188476562,162.931884765625,82.0,20.544666290283203,85.02774047851562,55.68464660644531,77.95075225830078,110.44669342041016,2753.030029296875
2019-02-14,40.73651123046875,100.02063751220703,162.81271362304688,81.13249969482422,20.251333236694336,84.47513580322266,55.69925308227539,77.29357147216797,110.3316650390625,2745.72998046875
